customer_id_legacy,transaction_id,TransactionAmount,purchase_date,product_category,customer_rating,customer_id_new,social_media_platform,engagement_score,purchase_interest_score,review_sentiment,CustomerEngagementScore,TransactionAmount_MA,Year,Month,MonthlyTotalSpent,negative,neutral,positive
151,1001,6.009810451603259,2024-01-01,Sports,2.3,A176,Facebook,70.0,3.3,Negative,0.42112125162972636,0.9005388466029642,2024,1,0.03957801751358698,1.0,0.0,0.0
192,1002,5.815616911001412,2024-01-02,Electronics,4.2,A156,Instagram,52.0,4.9,Positive,0.08996088657105605,0.8078390015293708,2024,1,0.2667561983521692,0.0,0.0,1.0
192,1002,5.815616911001412,2024-01-02,Electronics,4.2,A108,Unknown,0.0,0.0,,,0.8078390015293708,2024,1,0.2667561983521692,0.0,0.0,0.0
192,1002,5.815616911001412,2024-01-02,Electronics,4.2,A110,Unknown,0.0,0.0,,,0.8078390015293708,2024,1,0.2667561983521692,0.0,0.0,0.0
192,1002,5.815616911001412,2024-01-02,Electronics,4.2,A140,LinkedIn,86.0,3.1,Negative,0.7314211212516298,0.8078390015293708,2024,1,0.2667561983521692,1.0,0.0,0.0
114,1003,6.096685918781876,2024-01-03,Electronics,2.1,A171,Unknown,0.0,0.0,,,0.9420095480649948,2024,1,0.028290244900587257,0.0,0.0,0.0
171,1004,5.5516268263667845,2024-01-04,Clothing,2.8,,Unknown,0.0,0.0,,,0.6818212160214112,2024,1,0.03598641097106916,0.0,0.0,0.0
160,1005,4.189883523232425,2024-01-05,Clothing,1.3,,Unknown,0.0,0.0,,,0.031782121830458365,2024,1,0.033538110907835254,0.0,0.0,0.0
120,1006,5.979515459211259,2024-01-06,Groceries,1.1,A159,Unknown,0.0,0.0,,,0.8860772888573232,2024,1,0.0799483104596725,0.0,0.0,0.0
182,1007,4.506233804439944,2024-01-07,Sports,4.9,A193,TikTok,69.0,2.6,Negative,0.392438070404172,0.18279446738035876,2024,1,0.018907376762600018,1.0,0.0,0.0
186,1008,6.058484599869424,2024-01-08,Clothing,4.3,A160,TikTok,56.0,2.6,Positive,0.13820078226857901,0.9237738419039343,2024,1,0.20691758316581815,0.0,0.0,1.0
186,1008,6.058484599869424,2024-01-08,Clothing,4.3,A160,LinkedIn,73.0,2.0,Neutral,0.46284224250325934,0.9237738419039343,2024,1,0.20691758316581815,0.0,1.0,0.0
186,1008,6.058484599869424,2024-01-08,Clothing,4.3,A160,Instagram,89.0,2.9,Neutral,0.7874837027379399,0.9237738419039343,2024,1,0.20691758316581815,0.0,1.0,0.0
174,1009,5.43329731975653,2024-01-09,Electronics,3.8,A148,Facebook,75.0,1.7,Neutral,0.49804432855280323,0.6253356764076337,2024,1,0.40591998596031253,0.0,1.0,0.0
174,1009,5.43329731975653,2024-01-09,Electronics,3.8,A161,Unknown,0.0,0.0,,,0.6253356764076337,2024,1,0.40591998596031253,0.0,0.0,0.0
174,1009,5.43329731975653,2024-01-09,Electronics,3.8,A103,Instagram,77.0,2.3,Positive,0.544980443285528,0.6253356764076337,2024,1,0.40591998596031253,0.0,0.0,1.0
174,1009,5.43329731975653,2024-01-09,Electronics,3.8,A103,Facebook,58.0,3.6,Positive,0.1903520208604953,0.6253356764076337,2024,1,0.40591998596031253,0.0,0.0,1.0
174,1009,5.43329731975653,2024-01-09,Electronics,3.8,A103,Instagram,58.0,2.7,Negative,0.17861799217731422,0.6253356764076337,2024,1,0.40591998596031253,1.0,0.0,0.0
174,1010,4.726553263777265,2024-01-10,Sports,2.6,A148,Facebook,75.0,1.7,Neutral,0.49804432855280323,0.512879027415575,2024,1,0.40591998596031253,0.0,1.0,0.0
174,1010,4.726553263777265,2024-01-10,Sports,2.6,A161,Unknown,0.0,0.0,,,0.40042237842351636,2024,1,0.40591998596031253,0.0,0.0,0.0
174,1010,4.726553263777265,2024-01-10,Sports,2.6,A103,Instagram,77.0,2.3,Positive,0.544980443285528,0.2879657294314577,2024,1,0.40591998596031253,0.0,0.0,1.0
174,1010,4.726553263777265,2024-01-10,Sports,2.6,A103,Facebook,58.0,3.6,Positive,0.1903520208604953,0.2879657294314577,2024,1,0.40591998596031253,0.0,0.0,1.0
174,1010,4.726553263777265,2024-01-10,Sports,2.6,A103,Instagram,58.0,2.7,Negative,0.17861799217731422,0.2879657294314577,2024,1,0.40591998596031253,1.0,0.0,0.0
187,1011,5.998538117818752,2024-01-11,Sports,1.7,A124,TikTok,75.0,4.6,Neutral,0.5358539765319429,0.8951579076067282,2024,1,0.23097811801067555,0.0,1.0,0.0
187,1011,5.998538117818752,2024-01-11,Sports,1.7,A124,Facebook,95.0,3.7,Positive,0.9152542372881355,0.8951579076067282,2024,1,0.23097811801067555,0.0,0.0,1.0
187,1011,5.998538117818752,2024-01-11,Sports,1.7,A124,LinkedIn,77.0,3.2,Positive,0.5567144719687093,0.8951579076067282,2024,1,0.23097811801067555,0.0,0.0,1.0
187,1011,5.998538117818752,2024-01-11,Sports,1.7,A171,Unknown,0.0,0.0,,,0.8951579076067282,2024,1,0.23097811801067555,0.0,0.0,0.0
199,1012,5.634892736266072,2024-01-12,Electronics,1.6,A178,LinkedIn,74.0,4.9,Positive,0.5202086049543678,0.7215688663482642,2024,1,0.590288562793458,0.0,0.0,1.0
199,1012,5.634892736266072,2024-01-12,Electronics,1.6,A178,LinkedIn,53.0,1.5,Neutral,0.06518904823989569,0.7215688663482642,2024,1,0.590288562793458,0.0,1.0,0.0
199,1012,5.634892736266072,2024-01-12,Electronics,1.6,A178,TikTok,68.0,3.5,Negative,0.38461538461538447,0.7215688663482642,2024,1,0.590288562793458,1.0,0.0,0.0
199,1012,5.634892736266072,2024-01-12,Electronics,1.6,A170,Unknown,0.0,0.0,,,0.7215688663482642,2024,1,0.590288562793458,0.0,0.0,0.0
