product_category,customer_rating,engagement_score,CustomerEngagementScore,TransactionAmount_MA,Month,MonthlyTotalSpent,negative,neutral,positive
4,2.3,70.0,0.4211212516297263,0.902163508514771,1,0.0395889090952418,1.0,0.0,0.0
2,4.2,52.0,0.089960886571056,0.8003815952006006,1,0.2662025423968787,0.0,0.0,1.0
2,4.2,0.0,0.0,0.8003815952006006,1,0.2662025423968787,0.0,0.0,0.0
2,4.2,0.0,0.0,0.8003815952006006,1,0.2662025423968787,0.0,0.0,0.0
2,4.2,86.0,0.7314211212516298,0.8003815952006006,1,0.2662025423968787,1.0,0.0,0.0
2,2.1,0.0,0.0,0.9370608398274358,1,0.0281968495730537,0.0,0.0,0.0
1,2.8,0.0,0.0,0.6809986633870739,1,0.0359261531011317,0.0,0.0,0.0
1,1.3,0.0,0.0,0.0299554303956621,1,0.0334357707526057,0.0,0.0,0.0
3,1.1,0.0,0.0,0.8881756973477706,1,0.0803385634240686,0.0,0.0,0.0
4,4.9,69.0,0.392438070404172,0.1882277505794074,1,0.0188843235920076,1.0,0.0,0.0
1,4.3,56.0,0.138200782268579,0.9249738997520862,1,0.2067572341799569,0.0,0.0,1.0
1,4.3,73.0,0.4628422425032593,0.9249738997520862,1,0.2067572341799569,0.0,1.0,0.0
1,4.3,89.0,0.7874837027379399,0.9249738997520862,1,0.2067572341799569,0.0,1.0,0.0
2,3.8,75.0,0.4980443285528032,0.62803485424207,1,0.4061162914285901,0.0,1.0,0.0
2,3.8,0.0,0.0,0.62803485424207,1,0.4061162914285901,0.0,0.0,0.0
2,3.8,77.0,0.544980443285528,0.62803485424207,1,0.4061162914285901,0.0,0.0,1.0
2,3.8,58.0,0.1903520208604953,0.62803485424207,1,0.4061162914285901,0.0,0.0,1.0
2,3.8,58.0,0.1786179921773142,0.62803485424207,1,0.4061162914285901,1.0,0.0,0.0
4,2.6,75.0,0.4980443285528032,0.5152066655693619,1,0.4061162914285901,0.0,1.0,0.0
4,2.6,0.0,0.0,0.4023784768966538,1,0.4061162914285901,0.0,0.0,0.0
4,2.6,77.0,0.544980443285528,0.2895502882239458,1,0.4061162914285901,0.0,0.0,1.0
4,2.6,58.0,0.1903520208604953,0.2895502882239458,1,0.4061162914285901,0.0,0.0,1.0
4,2.6,58.0,0.1786179921773142,0.2895502882239458,1,0.4061162914285901,1.0,0.0,0.0
4,1.7,75.0,0.5358539765319429,0.892524049292371,1,0.230995098247501,0.0,1.0,0.0
4,1.7,95.0,0.9152542372881356,0.892524049292371,1,0.230995098247501,0.0,0.0,1.0
4,1.7,77.0,0.5567144719687093,0.892524049292371,1,0.230995098247501,0.0,0.0,1.0
4,1.7,0.0,0.0,0.892524049292371,1,0.230995098247501,0.0,0.0,0.0
2,1.6,74.0,0.5202086049543678,0.721644593878275,1,0.590137586698887,0.0,0.0,1.0
2,1.6,53.0,0.0651890482398956,0.721644593878275,1,0.590137586698887,0.0,1.0,0.0
2,1.6,68.0,0.3846153846153844,0.721644593878275,1,0.590137586698887,1.0,0.0,0.0
2,1.6,0.0,0.0,0.721644593878275,1,0.590137586698887,0.0,0.0,0.0
2,1.6,78.0,0.5488917861799217,0.721644593878275,1,0.590137586698887,1.0,0.0,0.0
2,1.6,89.0,0.7809647979139506,0.721644593878275,1,0.590137586698887,0.0,1.0,0.0
2,1.6,81.0,0.653194263363755,0.721644593878275,1,0.590137586698887,0.0,1.0,0.0
2,1.6,83.0,0.6479791395045632,0.721644593878275,1,0.590137586698887,1.0,0.0,0.0
1,2.0,0.0,0.0,0.7396672799418824,1,0.0480068848475937,0.0,0.0,0.0
2,3.2,0.0,0.0,0.2487855345027392,1,0.0196509886099813,0.0,0.0,0.0
4,3.9,90.0,0.8135593220338985,0.4179331745067323,1,1.0,0.0,1.0,0.0
4,3.9,78.0,0.5658409387222946,0.4179331745067323,1,1.0,0.0,0.0,1.0
4,3.9,59.0,0.2099087353324641,0.4179331745067323,1,1.0,0.0,0.0,1.0
4,3.9,50.0,0.0065189048239896,0.4179331745067323,1,1.0,1.0,0.0,0.0
4,3.9,0.0,0.0,0.4179331745067323,1,1.0,0.0,0.0,0.0
4,3.9,63.0,0.2842242503259452,0.4179331745067323,1,1.0,0.0,0.0,1.0
